From,To (Interval: 15M),PM10 (µg/m3),NO (µg/m3),NO2 (µg/m3),NOX (ppb),CO (mg/m3),SO2 (µg/m3),NH3 (µg/m3),Ozone (µg/m3),Benzene (µg/m3),PM2.5 (µg/m3)
01-02-2023 00:00,01-02-2023 00:15,95,NA,90.1,56.2,0.31,NA,17.7,28.1,0.4,35
01-02-2023 00:15,01-02-2023 00:30,95,NA,88,55.1,0.33,NA,18.3,27.1,0.4,35
01-02-2023 00:30,01-02-2023 00:45,95,NA,87.7,55.2,0.38,NA,19.7,24.9,0.4,35
01-02-2023 00:45,01-02-2023 01:00,122,NA,88.9,55.7,0.38,NA,21.3,21.9,0.4,34
01-02-2023 01:00,01-02-2023 01:15,122,NA,90,55.8,0.38,NA,22.3,16.7,0.4,34
01-02-2023 01:15,01-02-2023 01:30,122,NA,90.2,55.9,0.37,NA,22.7,16.1,0.4,34
01-02-2023 01:30,01-02-2023 01:45,122,NA,88.9,55.4,0.34,NA,23.1,22.5,0.4,34
01-02-2023 01:45,01-02-2023 02:00,90,NA,88.9,55.2,0.35,NA,23.5,20.5,0.4,35
01-02-2023 02:00,01-02-2023 02:15,90,NA,88.9,55.9,0.34,NA,23.1,22.8,0.4,35
01-02-2023 02:15,01-02-2023 02:30,90,NA,88.9,55.3,0.35,NA,22.9,19,0.4,35
01-02-2023 02:30,01-02-2023 02:45,90,NA,88.8,55.4,0.39,NA,22.6,17.1,0.4,35
01-02-2023 02:45,01-02-2023 03:00,72,NA,88.9,55.1,0.46,NA,22.5,19.1,0.4,32
01-02-2023 03:00,01-02-2023 03:15,72,NA,88.9,55.8,0.47,NA,22.7,18.2,0.4,32
01-02-2023 03:15,01-02-2023 03:30,72,NA,87.7,55.5,0.44,NA,22.5,18,0.4,32
01-02-2023 03:30,01-02-2023 03:45,72,NA,85.6,54.2,0.41,NA,22.7,15.7,0.4,32
01-02-2023 03:45,01-02-2023 04:00,72,NA,84.9,54.1,0.41,NA,23.2,13.8,0.4,44
01-02-2023 04:00,01-02-2023 04:15,72,NA,84.5,53.7,0.41,NA,23.4,16.4,0.4,44
01-02-2023 04:15,01-02-2023 04:30,72,NA,83.6,53,0.42,NA,21.3,16.9,0.4,44
01-02-2023 04:30,01-02-2023 04:45,72,NA,82.7,52.3,0.39,NA,19.9,16.7,0.4,44
01-02-2023 04:45,01-02-2023 05:00,58,NA,81.3,51.5,0.37,NA,18.8,18.9,0.4,28
01-02-2023 05:00,01-02-2023 05:15,58,NA,80,51.2,0.34,NA,18.3,22.8,0.4,28
01-02-2023 05:15,01-02-2023 05:30,58,NA,80.1,51.4,0.33,NA,17.3,22.7,0.4,28
